[2024-08-08 16:32:26.796] [bm] [info] Params: run_name          sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: input_data        ./Data/sampleN30.dat
[2024-08-08 16:32:26.796] [bm] [info] Params: input_init_guess  ./Results/sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: output_data       ./Results/sampleN30.json
[2024-08-08 16:32:26.796] [bm] [info] Params: output_err        ./Results/err_sampleN30.txt
[2024-08-08 16:32:26.796] [bm] [info] Params: use_exact         false
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_display      100
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_max          150000
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_J             0.05
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_h             0.03
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_S         0.0006670033
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_SS        0.0009712739
[2024-08-08 16:32:26.796] [bm] [info] Params: n_rep             40
[2024-08-08 16:32:26.796] [bm] [info] Params: t_eq              9000
[2024-08-08 16:32:26.796] [bm] [info] Params: t_meas            270000
[2024-08-08 16:32:26.802] [bm] [info] read_tidy_data: read from ./Data/sampleN30.dat
[2024-08-08 17:57:52.467] [bm] [info] main: sampleN30 iter=11600 err_S=0.001961 err_SS=0.002375
[2024-08-08 17:58:35.300] [bm] [info] main: sampleN30 iter=11700 err_S=0.001248 err_SS=0.001328
[2024-08-08 17:59:18.202] [bm] [info] main: sampleN30 iter=11800 err_S=0.001610 err_SS=0.001712
[2024-08-08 18:00:01.337] [bm] [info] main: sampleN30 iter=11900 err_S=0.001463 err_SS=0.001555
[2024-08-08 18:00:44.278] [bm] [info] main: sampleN30 iter=12000 err_S=0.001408 err_SS=0.001449
[2024-08-08 18:01:26.992] [bm] [info] main: sampleN30 iter=12100 err_S=0.001667 err_SS=0.001797
[2024-08-08 18:02:09.668] [bm] [info] main: sampleN30 iter=12200 err_S=0.001499 err_SS=0.001638
[2024-08-08 18:02:52.338] [bm] [info] main: sampleN30 iter=12300 err_S=0.001401 err_SS=0.001584
[2024-08-08 18:03:35.037] [bm] [info] main: sampleN30 iter=12400 err_S=0.001359 err_SS=0.001619
[2024-08-08 18:04:17.781] [bm] [info] main: sampleN30 iter=12500 err_S=0.001500 err_SS=0.001747
[2024-08-08 18:05:00.515] [bm] [info] main: sampleN30 iter=12600 err_S=0.001471 err_SS=0.001732
[2024-08-08 18:05:43.264] [bm] [info] main: sampleN30 iter=12700 err_S=0.001588 err_SS=0.001925
[2024-08-08 18:06:25.987] [bm] [info] main: sampleN30 iter=12800 err_S=0.001449 err_SS=0.001659
[2024-08-08 18:07:08.646] [bm] [info] main: sampleN30 iter=12900 err_S=0.001589 err_SS=0.002373
[2024-08-08 18:07:51.312] [bm] [info] main: sampleN30 iter=13000 err_S=0.001215 err_SS=0.001293
